depth	lineage	size
2	Bacteroides__UCG-005	6
2	Bifidobacterium__Lactobacillaceae	6
2	Bifidobacterium__Romboutsia	6
2	Brevundimonas__Stenotrophomonas	6
2	Chloroplast__Enhydrobacter	6
2	Christensenellaceae_R-7_group__Faecalibacterium	6
2	Comamonadaceae__Enterobacteriaceae	6
2	Corynebacteriaceae__Bacteroides	6
2	Enterobacterales__Hafnia-Obesumbacterium	6
2	Enterobacteriaceae__[Clostridium]_innocuum_group	6
2	Enterobacteriaceae__Agathobacter	6
2	Enterobacteriaceae__Anaerostipes	6
2	Enterobacteriaceae__Bacillales	6
2	Escherichia-Shigella__Anaerostipes	6
2	Escherichia-Shigella__Clostridia	6
2	Faecalibacterium__Clostridium_sensu_stricto_1	6
2	Faecalibacterium__UCG-002	6
2	Faecalibacterium__uncultured_11	6
2	Gastranaerophilales__Faecalibacterium	6
2	Hafnia-Obesumbacterium__Pseudomonas	6
2	Lachnospiraceae__Muribaculaceae	6
2	Lachnospiraceae__Subdoligranulum	6
2	Lactobacillus__Streptococcus	6
2	Lactococcus__Chloroplast	6
2	Paraprevotella__Bacteroides	6
2	Prevotella_7__Leptotrichia	6
2	Prevotella_9__Muribaculaceae	6
2	Prevotella_9__uncultured_11	6
2	Prevotellaceae_NK3B31_group__Faecalibacterium	6
2	Proteus__Enterobacteriaceae	6
2	Pseudomonadaceae__Escherichia-Shigella	6
2	Pseudomonas__Brevundimonas	6
2	Pseudomonas__Prevotella_9	6
2	Ruminococcaceae__Lachnospiraceae	6
2	Staphylococcus__Proteus	6
2	Streptococcus__Haemophilus	6
2	Streptococcus__Pseudomonas	6
2	Subdoligranulum__Clostridia_UCG-014	6
2	UCG-002__Faecalibacterium	6
2	Unassigned__Lachnospiraceae	6
2	uncultured_12__Cutibacterium	6
2	Veillonella__Leptotrichia	6
2	[Ruminococcus]_gnavus_group__Bacteroides	5
2	Acinetobacter__Xanthomonadaceae	5
2	Akkermansia__Tannerellaceae_1	5
2	Alistipes__Faecalibacterium	5
2	Bacteroidales__Bacteroides	5
2	Bacteroides__Comamonadaceae	5
2	Bacteroides__Ezakiella	5
2	Bacteroides__Planococcaceae	5
2	Bacteroides__Staphylococcus	5
2	Bacteroides__Veillonella	5
2	Bifidobacterium__Enterobacteriaceae	5
2	Bifidobacterium__Lacticaseibacillus	5
2	Bifidobacterium__Streptococcus	5
2	Brevundimonas__Comamonadaceae	5
2	Clostridia_UCG-014__Akkermansia	5
2	Clostridia_UCG-014__Bifidobacterium	5
2	Clostridia_UCG-014__Prevotella_9	5
2	Clostridia_UCG-014__RF39	5
2	Corynebacteriaceae__Streptococcus	5
2	Corynebacterium__Bacteroides	5
2	Dialister__Clostridia_UCG-014	5
2	Enterobacterales__Streptococcus	5
2	Enterobacteriaceae__Corynebacteriaceae	5
2	Enterobacteriaceae__Eisenbergiella	5
2	Enterobacteriaceae__Neisseria	5
2	Escherichia-Shigella__Catenibacterium	5
2	Escherichia-Shigella__Mitochondria	5
2	Escherichia-Shigella__Prevotella_7	5
2	Escherichia-Shigella__Prevotellaceae	5
2	Escherichia-Shigella__Sphingomonadaceae	5
2	Escherichia-Shigella__Veillonella	5
